Time,Run,Nature,Culture,LTM,MaxLTM,RC,UR
3150,2,0,0,51.5,53.3,0.37,15.88
3200,2,0,0,51.7,52.4,0.24,1.26
3250,2,0,0,51.7,52.4,0.3,1.19
3300,2,0,0,53,53.6,0.051,0.22
3350,2,0,0,51.5,51.6,0.051,0.24
3400,2,0,0,52.7,53,0.121,0.3
3450,2,0,0,51.6,53.2,0.201,0.73
3500,2,0,0,53.9,53.9,0.301,1.42
3550,2,0,0,52,52,0.131,0.46
3600,2,0,0,52.3,53,0.351,1.4
3650,2,0,0,53.1,53.1,0.261,0.88
3700,2,0,0,53.6,54,0.111,0.44
3750,2,0,0,54.9,55,0.001,0.21
3800,2,0,0,55.1,56.3,0.001,0.28
3850,2,0,0,53.6,55.3,0.031,0.22
3900,2,0,0,54.8,55,0.001,0.19
3950,2,0,0,51.8,52.6,0.071,0.31
4000,2,0,0,52,52,0.191,0.69
4050,2,0,0,53.1,53.1,0.001,0.19
4100,2,0,0,51.7,52.2,0.051,0.08
4150,2,0,0,51.7,51.7,0.141,0.68
4200,2,0,0,53.5,53.5,0.141,0.53
4250,2,0,0,52.7,52.8,0.091,0.44
4300,2,0,0,52.8,52.8,0.011,0.16
4350,2,0,0,53,53,0.001,0.12
4400,2,0,0,51.5,52.2,0.001,0.13
4450,2,0,0,50.6,50.6,0.001,0.14
4500,2,0,0,50,50,0.031,0.21
4550,2,0,0,48.4,48.4,0.031,0.34
4600,2,0,0,46.5,46.5,0.011,0.16
4650,2,0,0,45.8,45.8,0.001,0.14
4700,2,0,0,45.2,45.2,0.011,0.11
4750,2,0,0,45.8,45.8,0.051,0.18
4800,2,0,0,47.2,47.2,0.041,0.23
4850,2,0,0,49.3,49.3,0.071,0.38
4900,2,0,0,49.3,49.3,0.071,0.21
4950,2,0,0,49,49,0.011,0.13
5000,2,0,0,47.2,47.2,0.081,0.39
0,3,0,0,50.7,50.7,0.7,8
50,3,0,0,32.8,57.9,0.63,51.18
100,3,0,0,47.7,56.8,0.58,37.23
150,3,0,0,43.9,55.3,0.42,41.24
200,3,0,0,42.2,53.8,0.51,51.37
250,3,0,0,39.7,53.2,0.59,40.44
300,3,0,0,37,52,0.6,55.27
350,3,0,0,32,51.5,0.63,59.14
400,3,0,0,37.3,52.7,0.7,57.06
450,3,0,0,39,51.2,0.66,60.97
500,3,0,0,32.5,50,0.61,38.36
550,3,0,0,36.4,49.9,0.57,55.06
600,3,0,0,43.9,49,0.5,45.11
650,3,0,0,36.1,49.1,0.41,47.11
700,3,0,0,32.6,48.6,0.54,57.32
750,3,0,0,34.2,48.7,0.72,48.64
800,3,0,0,38.7,49,0.64,55.77
850,3,0,0,36.6,49.5,0.67,60.77
900,3,0,0,35.1,48.9,0.83,58.71
950,3,0,0,38.6,48.7,0.84,56.64
1000,3,0,0,32,47.9,0.79,61.71
1050,3,0,0,39.9,47.5,0.71,60.92
1100,3,0,0,37.1,48,0.79,58.09
1150,3,0,0,37.2,47.3,0.78,61.68
1200,3,0,0,36,48.1,0.78,34.13
1250,3,0,0,33.8,46.9,0.59,63.01
1300,3,0,0,42.1,47.1,0.44,52.31
1350,3,0,0,38.2,47.8,0.48,43.02
1400,3,0,0,39.3,48,0.51,50.99
1450,3,0,0,35.5,48.1,0.58,52.39
1500,3,0,0,34.8,48.7,0.54,54.94
1550,3,0,0,36.7,49.3,0.81,57.5
1600,3,0,0,35.8,49.3,0.78,58.21
1650,3,0,0,34.1,49.8,0.69,43.38
1700,3,0,0,35.4,51,0.81,63.3
1750,3,0,0,34,51.7,0.7,61.12
1800,3,0,0,38.3,50.3,0.8,46.16
1850,3,0,0,33.2,48.2,0.67,41.54
1900,3,0,0,34.1,47.1,0.8,57.41
1950,3,0,0,37.5,46.9,0.88,47.31
2000,3,0,0,36.8,46.4,0.7,60.33
2050,3,0,0,30.5,44.5,1,63.9
2100,3,0,0,34,43.2,0.88,62.98
2150,3,0,0,33.2,42.2,0.8,61.2
2200,3,0,0,34.3,39.5,0.87,60.94
2250,3,0,0,27.9,38,0.89,63.2
2300,3,0,0,33.3,38.4,0.93,63.6
2350,3,0,0,33.1,39,0.97,64
